Restaurant name,Link in manta,Manta verified,Street address,City,State,Postal code,Phone number,Website,Description
Restaurants,https://www.manta.com/c/mkx1c48/restaurants,False,3515 West Sunset Boulevard,Los Angeles,CA,90026,(323) 522-3252,,
RDCS Service Inc.,https://www.manta.com/c/mx7wr52/rdcs-service-inc,True,"15902 Halliburton Rd., #182",Hacienda Heights,CA,91745,(626) 275-2458,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.rdcsservice.com&s=4eaa3b39300b1b58a45b860e9c9189f9&cb=3970286&emid=mx7wr52,"Restaurant Construction Contractor with Design, Planning and Kitchen Consulting"
Eukya Furniture,https://www.manta.com/c/mxjlg73/eukya-furniture,True,233 S. 7th Ave,Los Angeles,CA,91746,(626) 934-9448,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.eukya.com&s=a382807f21f0f7678c7f2a505237f202&cb=3970286&emid=mxjlg73,
Profit Restaurant Consutling Corp,https://www.manta.com/c/mx7p1h2/profit-restaurant-consutling-corp,True,13854 Valley Vista Blvd,Sherman Oaks,CA,91423,(310) 420-7895,https://www.manta.com/urlverify?redirect=http%3A%2F%2FProfitrestaurantconsulting.com&s=0d812eeb2641b1e5972c255ac96f7580&cb=3970286&emid=mx7p1h2,Restaurant Consulting Services - Full turn-key services for restaurants that need bottom line profit.
Mayura Restaurant,https://www.manta.com/c/mbykg5l/mayura-restaurant,True,10406 Venice Boulevard,Culver City,CA,90232,(310) 559-9644,,Mayura Restaurant is the best South Indian Restaurant and Buffet in California.
Darren's Restaurant,https://www.manta.com/c/mh1l772/darren-s-restaurant,False,1141 Manhattan Ave,Manhattan Beach,CA,90266,(310) 802-1973,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fdarrensmb.com&s=61308030c6fd381aceb67624c54a250c&cb=3970287&emid=mh1l772,
Kashira Japanese Restaurant,https://www.manta.com/c/mh17g16/kashira-japanese-restaurant,False,3785 Wilshire Blvd. Ste. 24,Los Angeles,CA,90010,(213) 388-1620,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.kashirajapan.com%2F&s=df028b5f67ea506ad9c15037efa474e0&cb=3970288&emid=mh17g16,
Coco Laurent,https://www.manta.com/c/mxjt46t/coco-laurent,False,707 S. Grand Ave.,Los Angeles,CA,90017,(213) 623-0008,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.CocoLaurent.com&s=b6b26287c5f1f7f7d1c9d1dd90de840e&cb=3970288&emid=mxjt46t,"Coco Laurent serves a tempting bistro-chic experience developed by Chef Guillaume Jouvet from Paris. Our ""bon vivant"" form is recognizable by the han"
Gills Restaurant,https://www.manta.com/c/mx4dyfg/gills-restaurant,False,,Los Angeles,CA,90017,(213) 623-1050,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.gillsrestaurant.com%2F&s=acf835338833ef4460adaac11df493bc&cb=3970288&emid=mx4dyfg,"Gill’s many delectable dishes are lean, low in fat and healthy."
Grand World Buffet Inc,https://www.manta.com/c/mms109k/grand-world-buffet-inc,False,21557 S Western Avenue,Torrance,CA,90501,(310) 328-8533,,Restaurant
Catrina Mexican Restaurant,https://www.manta.com/c/mx5t0vt/catrina-mexican-restaurant,False,1585 W Sepulveda Blvd,Torrance,CA,90501,,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.catrinamexicanrestaurant.com&s=e650633d52e1c0f5790b66e25c837e0b&cb=3970289&emid=mx5t0vt,Quality gourmet tacos made with fresh tortillas and choice of our delicious authentic Mexican dishes.
Little Sheep Mongolian Hot Pot,https://www.manta.com/c/mx43r0j/little-sheep-mongolian-hot-pot,False,2575 Pacific Coast Hwy,Torrance,CA,90505,(310) 517-9605,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.littlesheephotpot.com%2F&s=cdb6c55b7355cddc71863e5136a36bde&cb=3970289&emid=mx43r0j,"Little Sheep Mongolian Hot Pot offers Mongolian hot pot dining, using a delicious soup made from flavorful spices and ingredients, high quality meats"
Premier Restaurant & Bar,https://www.manta.com/c/mmgjlfg/premier-restaurant-bar,False,12743 Ventura Boulevard,Studio City,CA,91604,(818) 623-8844,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.RestaurantPremier.com&s=1e5205d438cf5cd83ef4ab37bb63ceca&cb=3970290&emid=mmgjlfg,Fine Russian Food
Justice Urban Tavern,https://www.manta.com/c/mx4dmx6/justice-urban-tavern,True,120 S Los Angeles St,Los Angeles,CA,90012,(213) 253-9235,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.justicela.com%2F&s=4aac954625a670b8a903b3315c696aea&cb=3970290&emid=mx4dmx6,Justice is your friendly Downtown Los Angeles gastropub without the Downtown Los Angeles prices.
Redondo Beach Crab House,https://www.manta.com/c/mm27lfk/redondo-beach-crab-house,True,100 Fishermans Wharf # F,Redondo Beach,CA,90277,(310) 376-2244,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.RedondoBeachCrabHouse.com&s=ddfa81d9e4b4528a51be7fbb92803b9e&cb=3970291&emid=mm27lfk,Seafood restaurant located on top of the water at Redondo Beach Pier. Specializing in live shellfish and other specialty seafood items.
Craft Sushi & Noodles,https://www.manta.com/c/mx4jdb8/craft-sushi-noodles,False,4730 Lincoln Blvd.,Marina Del Rey,CA,90292,(310) 822-6869,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.craftsushiandnoodles.com&s=3d5313e33093240a880e52dc680e36cc&cb=3970291&emid=mx4jdb8,"Craft Sushi and Noodles is a unique fusion of Asian cuisine and California inspired recipes. Featuring over 30 gourmet rolls, our hand-crafted designs"
Moun-of-Tunis Restaurant,https://www.manta.com/c/mmjkxxk/moun-of-tunis-restaurant,False,7445 1/2 W Sunset Boulevard,Los Angeles,CA,90046,(323) 874-3333,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.mounoftunis.la&s=457e770ca8c89df28f47815ba8ecd587&cb=3970291&emid=mmjkxxk,Restaurant serving traditional Tunisian and Moroccan cuisine.
Pizza Restaurants,https://www.manta.com/c/mhp5lcc/pizza-restaurants,False,1233 S Western Ave,Los Angeles,CA,90006,(323) 734-8235,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.pizzarestaurants.com&s=0b4f62a82692ebb97f17f3eecf04f26a&cb=3970292&emid=mhp5lcc,"A restaurant is a place where cooked food is sold to the public, and where people sit down to eats it."
Lolita's Tortilleria,https://www.manta.com/c/mmspv94/lolita-s-tortilleria,False,6050 Whittier Boulevard,Los Angeles,CA,90022,,,Restaurant
Sage Plant Based Bistro,https://www.manta.com/c/mx443w0/sage-plant-based-bistro,False,4130 Sepulveda Blvd,Culver City,CA,90230,(424) 228-5835,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.sageveganbistro.com&s=c51e71319490b730d6b2f260b3cedde1&cb=3970292&emid=mx443w0,"Catering, Bar, Organic Restaurant, Ice Cream Shop, Pizza Restaurant, Vegetarian Restaurant, Gastropub, Vegan Restaurant, Dessert Restaurant, Health Fo"
Restaurant Booth Manufacturer,https://www.manta.com/c/mh1cgx2/restaurant-booth-manufacturer,False,14737 1/2 Oxnard Street,Van Nuys,CA,91411,(818) 722-1885,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.customrestaurantbooths.com&s=f999b15640e4da7e7f2a716573c66fe5&cb=3970293&emid=mh1cgx2,"Restaurant booth factory, custom restaurant booth"
Wildflower Cafe,https://www.manta.com/c/mmsrrpg/wildflower-cafe,False,600 South Pacific Coast Highway,Redondo Beach,CA,90277,(310) 406-3808,,Cafe/ Restaurant serving breakfast and lunch
Hrazdan Market,https://www.manta.com/c/mt9y4kn/hrazdan-market,False,7518 Foothill Boulevard,Tujunga,CA,91042,(818) 352-6677,,"Restaurant and market, food to go, private party, catering, sit-in, healthy"
Zayna Flaming Grill,https://www.manta.com/c/mt1h0f1/zayna-flaming-grill,False,1310 S Pacific Coast Highway,Redondo Beach,CA,90277,(310) 540-0777,,Zayna Flaming Grill is a family owned and operated bistro with a Mediterranean flare.
Hoy-Ka Thai Noodle,https://www.manta.com/c/mvtcwd9/hoy-ka-thai-noodle,False,230 N Garfield Ave Ste D12,Monterey Park,CA,91754,(626) 927-9629,,Restaurant
The Wilde Thistle Celtic Cafe,https://www.manta.com/c/mx40hp7/the-wilde-thistle-celtic-cafe,False,3456 Motor Ave.,Los Angeles,CA,90034,(310) 730-6208,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.thewildethistle.com%2F&s=a8159eca3ad9925810685b626739d491&cb=3970294&emid=mx40hp7,"Breakfast Restaurant, Restaurant, Restaurant or Cafe, Dessert Shop, Coffee Shop, Tea House, Irish Pub, Irish Restaurant, Cafe, Live Music Venue"
Sam's Burgers Cafe,https://www.manta.com/c/mvt399z/sam-s-burgers-cafe,False,4800 Firestone Blvd,South Gate,CA,90280,(323) 564-1383,,Fast food and casual restaurant
jb's dinner room,https://www.manta.com/c/mrnnxsf/jb-s-dinner-room,False,444 w gardena blvd,Gardena,CA,90248,(310) 329-1915,,"business man's lunchs , steakhouse , full bar, family friendly"
The London WH,https://www.manta.com/c/mx84jnr/the-london-wh,False,1020 N. San Vicente Blvd,West Hollywood,CA,90069,(866) 282-4560,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.thelondonwesthollywood.com%2F&s=e56e2d42f0052078ad6e0519a66dc9f4&cb=3970295&emid=mx84jnr,"For excellent food, the London West Hollywood offers top cuisine and cocktails - check out Gordon Ramsay at the London West Hollywood yourself!"
Delancey Village LLC,https://www.manta.com/c/mttl3fr/delancey-village-llc,False,1469-71 Tamarind Avenue,Los Angeles,CA,90028,(323) 469-2100,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fdelanceyhollywood.com&s=2639000263e20e87b3a1cc635e73c17f&cb=3970295&emid=mttl3fr,Full Service Restaurant
Islas de la Bahia Restaurant,https://www.manta.com/c/mxdhrss/islas-de-la-bahia-restaurant,True,14405 Prairie Ave,Lawndale,CA,90260,(424) 269-0680,https://www.manta.com/urlverify?redirect=http%3A%2F%2Fwww.islasdelabahiarestaurant.com%2F&s=cee83215f7c9330f7f9c84816b46573b&cb=3970295&emid=mxdhrss,
Chronic Tacos,https://www.manta.com/c/mx485sd/chronic-tacos,False,4212 Woodruff Ave.,Lakewood,CA,90713,(562) 425-7040,https://www.manta.com/urlverify?redirect=http%3A%2F%2Featchronictacos.com%2F&s=8d612665f9fbea5963666e5d5b7bd110&cb=3970302&emid=mx485sd,"Restaurant, Fast Food Restaurant, Mexican Restaurant, Taco Restaurant"
