Company Name,Company Link,User Name,Number of Investments,Invested Flag,Amount if Time Ago,Question,Answer
Knightscope,https://www.startengine.com/knightscope,Raymond Hooks,12,Yes,2 days ago,Hello - can you please provide a Company financial update for the year 2019? Is there an investor presentation? Please share the revenue and income.,"Hello Raymond, we report to the U.S. SEC on a bi-annual basis and you can find those regulatory filings here: www.knightscope.com/investors

The Form 1-SA covers 1H 2019. The Form 1-K is due at the end Apr 2020.

For your convenience here are the historical revenues:

2015 pilots
2016 $400K
2017 $1.6 million
2018 $2.9 million

Hope that helps! - Bill"
Knightscope,https://www.startengine.com/knightscope,Guenadi Jilevski,20,Yes,3 days ago,What is the current valuation?,"Guenadi, appreciate the interest and support! The round is in process of getting done at $8 per share or a $310 million pre-money valuation. This compares favorably to pretty much all the deals in the autonomous space (that have no commercially viable product, no customers, no revenue) at $500 million - $2 billion range. Or to a partial competitor funded by Sequoia, Cobalt Robotics, whose last round was done at $200M pre-money valuation and are just in pilot phase with a handful of customers."
Knightscope,https://www.startengine.com/knightscope,Allen Ward,5,Yes,4 days ago,"I’ve read practically everything that you have posted. you guys are doing a fantastic job, it’s just amazing, I’m speechless. keep up the good work thank you. Allen Ward.","Dear Allen, that's so kind of you! Really appreciate the vote of confidence. Still so much to do. Spread the word! - Bill"
Knightscope,https://www.startengine.com/knightscope,Terrance Montgomery,6,No,5 days ago,"Greetings, I have followed this product for some time now and I am almost finished with researching other companies that offer similar products...like SMP Robotics, Corp and others. What makes this company different (better for the investors and clients)?

Side note, thanks for all the updates and information shared on LinkedIn, it's a great way to display your products!","Terrance, thank you for the kind interest! Frankly, one of our greatest competitive advantages is we actually have real clients, with actual real revenue, and actual real product operating across an entire country 24/7/365. No other company can say that - funded or not funded. What we are doing is extremely execution intensive and difficult - and all the primary potential competitors have gone under and/or given up. These are basically self-driving cars and with over $80 billion invested in the space - no one has shipped anything at scale fully autonomous with no human intervention - except Knightscope. Hope that helps! - Bill

P.S. We just crossed 1 million operating hours in the field in the real world.
P.P.S We have real crime fighting wins and can see them here: www.knightscope.com/crime"
Knightscope,https://www.startengine.com/knightscope,Judy Zhu,4,Yes,11 days ago,"Hi Knightscope, for self directed IRA, could it be Roth IRA as well? Thanks!","Hi Judy, I'm not the expert here on that but your best bet is to contact our friends at StartEngine directly, and they will be happy to help. You can reach them at contact@startengine.com and thank you for the kind interest and support! - Bill"
Knightscope,https://www.startengine.com/knightscope,Ian Gebow,,No,14 days ago,"I have spent the portions of the last several days reviewing the available information regarding Knightscope and am very interested in the technology as an investor during this offering. I would be interested to know how you are getting information regarding your products and services to potential customers who may in fact not know they are available. As mind-blowing as they are, the NASDAQ Channel, CNBC and Popular Science are not exactly flying across everyone's TVs and iPads. Are you contacting potential clients directly? Forgive me if this has already been addressed.","Ian, thank you for the interest! Yes, this matter has been addressed but need to think about sequencing. We have a considerable backlog of new orders - and need to focus on securing additional equity capital to scale up the company and fund the growth. Need to do that first, before securing more business. Yes, our sales team (which will grow significantly after this financing) reaches out and deals with clients on one-to-one basis. Hope that is understandable."
Knightscope,https://www.startengine.com/knightscope,Frank Costello,,No,17 days ago,Has anyone invested using IRA Funds and kept the investment in a tax deferred status? Would like more info on the process required - better yet - an investor that has successfully done this. I am looking to invest using IRA funds w/out taking a distribution to do so.,"Hello Frank! Yes, so long at is a self-directed IRA, numerous folks have done so. There are 3 options for you:

1. If you have an existing self-directed IRA....AND the firm allows private investments in startups then you should be all set. A great deal of the larger firms either don't allow it or provide a nightmare of paperwork that make it almost impossible.

2. Our managing broker-dealer at StartEngine has there own solution and can help you through the process - you can reach out to them directly at contact@startengine.com and they'll be happy to assist.

3. At Knightscope, we wrote a blog about it and you can learn more here:

https://www.knightscope.com/blog-1/2019/9/5/your-self-directed-ira-should-be-autonomous

Hope that all helps and appreciate the kind interest! - Bill"
StartEngine,https://www.startengine.com/startengine-crowdfunding,John mensah,2,No,6 days ago,"I was curious about this so if investing in start engine itself you actually do get shares as well as the bonus just so I understand fully because I am interested just want to make sure..

I think it was answered but just making sure asi am very interested because I think your fking s great thing here.

Thank you","Hi John,

As I mentioned in a comment below and as I hope is clear in the campaign page above this comment section, the primary purpose of investing in this offering is to receive StartEngine shares. The bonus is just that: a bonus. It is a perk to reward those who show us more support than just investing the minimum investment amount in this offering.

Howard"
StartEngine,https://www.startengine.com/startengine-crowdfunding,Adaly Rosado,2,No,7 days ago,Can you lower the minimum purchase price to 100?,"Hi Adaly,

Thank you for being an investor in our community. Unfortunately, we will not be adjusting the minimum investment amount of this offering.

Howard"
StartEngine,https://www.startengine.com/startengine-crowdfunding,Joseph F. Ricciardi III,2,No,8 days ago,"If I choose to invest in the Start Engine platform, why cant we receive interest or equity depending on the amount of money we invest? At this point it appears that my minimum $1000 is a loan for Start Engine that I do not receive anything in return except the possibility of selling shares in the future, which is not guaranteed. Is there something I am missing?","Hi Joseph,

I think there is some confusion, so let me try to clarify. This is an equity offering. The price per share in this offering is $7.50, and the minimum investment amount is $502.50 (67 shares). If you wanted to, you could invest a higher amount in this offering, and in return you would receive more stock. In the case of investing $1,000 or more, you would also receive our Owner's Bonus perk. This is not a loan. You receive shares in exchange for your investment.

As for the possibility of selling those shares in the future, you are right that it is not guaranteed. There is currently no way for investors to sell their StartEngine shares. We are working on getting regulatory approval for an investor trading platform, which you can read more about on our campaign page, but I cannot say if or when we will launch that trading platform because its approval is dependent on FINRA and the SEC.

I believe in StartEngine's future and the platform's potential, but no one can predict the future or guarantee success.

Howard"
